sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
201535,https://sofifa.com/player/201535/raphael-varane/17/158492,R. Varane,Raphaël Varane,23,1993-04-25,191,78,France,Real Madrid,84,91,35000000,110000,CB,Right,3,3,2,Medium/Medium,Lean,Yes,,#Tackling ,SUB,5.0,,2011-07-01,2020.0,RCB,4.0,77.0,45.0,60.0,63.0,85.0,78.0,,,,,,,,36,40,83,72,42,57,46,54,74,75,76-2,78-2,58,79+1,47,52,74,70+1,84+2,53,73,85,44,56,43,66,84+1,86+1,85+1,11,11,9,5,14,62+2,62+2,62+2,61+2,62+2,62+2,62+2,61+2,64+2,64+2,64+2,63+2,69+2,69+2,69+2,63+2,74+2,78+2,78+2,78+2,74+2,77+2,83+2,83+2,83+2,77+2
201153,https://sofifa.com/player/201153/alvaro-borja-morata-martin/17/158492,Morata,Álvaro Borja Morata Martín,23,1992-10-23,189,85,Spain,Real Madrid,82,86,27000000,100000,"ST, LW",Right,3,4,3,High/Medium,Normal,Yes,,,SUB,21.0,,2016-07-01,2021.0,ST,7.0,83.0,79.0,69.0,79.0,23.0,73.0,,,,,,,"Beat Offside Trap, Speed Dribbler (CPU AI Only)",73+6,81-1,75+5,74+3,80+4,82-2,76+1,44+1,51,83-2,79-4,86-1,59-16,80+2,56-9,78-1,79+4,68-7,82+4,74-3,54-2,24+3,83-2,76+6,72-2,78,14-1,14-5,20+5,4-5,5+1,4-8,4-2,5-7,81+2,81+2,81+2,80+2,81+2,81+2,81+2,80+2,78+2,78+2,78+2,78+2,69+2,69+2,69+2,78+2,55+2,50+2,50+2,50+2,55+2,51+2,45+2,45+2,45+2,51+2
208618,https://sofifa.com/player/208618/lucas-vazquez-iglesias/17/158492,Lucas Vázquez,Lucas Vázquez Iglesias,25,1991-07-01,173,69,Spain,Real Madrid,81,84,20500000,60000,"RM, RW",Right,2,4,3,High/Medium,Normal,No,,,SUB,17.0,,2015-07-02,2020.0,SUB,17.0,81.0,71.0,77.0,80.0,40.0,64.0,,,,,,,Beat Offside Trap,83+2,69,51,74,54,81,82,75,72+1,79,85,78-1,77-1,85+2,79-3,78,67,88+9,56,74,54,44,80,81+10,56,70,23,51,37,9,16,9,9,7,74+1,74+1,74+1,79+1,78+1,78+1,78+1,79+1,79+1,79+1,79+1,80+1,76+1,76+1,76+1,80+1,66+1,62+1,62+1,62+1,66+1,62+1,51+1,51+1,51+1,62+1
220834,https://sofifa.com/player/220834/marco-asensio-willemsen/17/158492,Marco Asensio,Marco Asensio Willemsen,20,1996-01-21,178,70,Spain,Real Madrid,81,89,25000000,50000,"CAM, LM, RM",Left,1,3,3,Medium/Medium,Normal,No,,,SUB,20.0,,2015-01-22,2021.0,SUB,16.0,72.0,70.0,83.0,82.0,39.0,61.0,,,,,,,"Set Play Specialist, Takes Finesse Free Kicks",81+6,68+4,47,86+6,76+20,82+5,85,76,80+6,85+2,76+7,68+4,77+8,78+5,76+1,67+13,54,74+8,62+5,78+11,45,41,70+3,83+2,62+6,71,30,43,39,13,9,6,12,10,71+1,71+1,71+1,79+1,77+1,77+1,77+1,79+1,80+1,80+1,80+1,79+1,78+1,78+1,78+1,79+1,64+1,63+1,63+1,63+1,64+1,60+1,50+1,50+1,50+1,60+1
199304,https://sofifa.com/player/199304/danilo-luiz-da-silva/17/158492,Danilo,Danilo Luiz da Silva,24,1991-07-15,184,78,Brazil,Real Madrid,80,83,15000000,60000,"RB, LB",Right,2,4,3,High/Medium,Lean,No,,,SUB,23.0,,2015-07-01,2021.0,,,80.0,70.0,72.0,75.0,78.0,79.0,,,,,,,"Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",74,61-9,68-3,78,72,73-5,74,76,69-8,79,77-1,82-2,75-1,79-1,66,85,75,83-2,79,72-11,74,81,75-3,62-15,67-8,67,75,81,82,14,5,15,14,5,74+1,74+1,74+1,74+1,75+1,75+1,75+1,74+1,74+1,74+1,74+1,75+1,75+1,75+1,75+1,75+1,80+1,78+1,78+1,78+1,80+1,80+1,78+1,78+1,78+1,80+1
204963,https://sofifa.com/player/204963/daniel-carvajal-ramos/17/158492,Carvajal,Daniel Carvajal Ramos,24,1992-01-11,173,73,Spain,Real Madrid,83,86,25000000,90000,RB,Right,2,3,2,High/Medium,Normal,Yes,,,RB,2.0,,2013-07-05,2020.0,RB,20.0,82.0,45.0,72.0,79.0,81.0,79.0,,,,,,,,81+1,41,63,79,34,76,72,47,71,83+1,78-1,85-1,82-1,81,79-3,64+2,76,84-2,75,36,81-2,82,61,57,45,69,84-1,83+1,85+1,13,13,15,9,15,65+1,65+1,65+1,72+1,69+1,69+1,69+1,72+1,70+1,70+1,70+1,75+1,73+1,73+1,73+1,75+1,83+1,80+1,80+1,80+1,83+1,82+1,80+1,80+1,80+1,82+1
177003,https://sofifa.com/player/177003/luka-modric/17/158492,L. Modrić,Luka Modrić,30,1985-09-09,174,65,Croatia,Real Madrid,89,89,54000000,160000,"CM, CDM",Right,4,4,4,High/Medium,Lean,Yes,,"#Dribbler, #Playmaker  , #Acrobat",RCM,19.0,,2012-08-01,2018.0,,,74.0,75.0,86.0,89.0,72.0,66.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",78,71,55,92+6,74-1,86,79,77,83,92,77-1,71-3,93,88,94,73,67,83-4,58-3,82,62,76+3,79,90+1,80,76,66-3,80+5,73,13,9,7,14,9,77+3,77+3,77+3,84+3,83+3,83+3,83+3,84+3,86+3,86+3,86+3,84+3,87+3,87+3,87+3,84+3,81+3,81+3,81+3,81+3,81+3,79+3,72+3,72+3,72+3,79+3
165153,https://sofifa.com/player/165153/karim-benzema/17/158492,K. Benzema,Karim Benzema,28,1987-12-19,187,79,France,Real Madrid,87,87,45500000,170000,ST,Right,4,4,4,Medium/Low,Normal,Yes,,#Poacher,ST,9.0,,2009-07-01,2019.0,,,81.0,84.0,77.0,82.0,22.0,74.0,,,,,,,Beat Offside Trap,75,88,78,86,79+2,83+1,79,73,47,87+1,79-3,82-2,77+2,83,60,83,70,74-1,78,78,65,22,87,85+2,82,82,13,15,12,13,11,5,5,7,84+3,84+3,84+3,84+3,85+3,85+3,85+3,84+3,84+3,84+3,84+3,82+3,73+3,73+3,73+3,82+3,57+3,53+3,53+3,53+3,57+3,52+3,45+3,45+3,45+3,52+3
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/17/158492,Sergio Ramos,Sergio Ramos García,30,1986-03-30,183,75,Spain,Real Madrid,89,89,43500000,160000,CB,Right,4,3,3,High/Medium,Normal,Yes,,"#Tackling , #Tactician ",LCB,4.0,,2005-08-01,2020.0,LCB,15.0,78.0,63.0,70.0,71.0,87.0,83.0,,,,,,,"Dives Into Tackles (CPU AI Only), Leadership, Power Header",66-8,60,86,76,66,61+4,73,67-1,70,83,77-1,78-1,80-2,82,60,79+2,92+1,84-2,81+1,55,84+1,88,52,63,68,76,85,89,90,11,8,9,7,11,71+3,71+3,71+3,70+3,70+3,70+3,70+3,70+3,70+3,70+3,70+3,71+3,74+3,74+3,74+3,71+3,81+3,82+3,82+3,82+3,81+3,83+3,86+3,86+3,86+3,83+3
193041,https://sofifa.com/player/193041/keylor-navas/17/158492,K. Navas,Keylor Navas,29,1986-12-15,185,78,Costa Rica,Real Madrid,85,85,28500000,100000,GK,Right,3,3,1,Medium/Medium,Normal,Yes,,,GK,1.0,,2014-08-04,2020.0,,,,,,,,,87.0,82.0,72.0,85.0,56.0,80.0,"GK Up for Corners, GK Long Throw, Cautious With Crosses",11,15,11,30,11,16,11,15,37,19,61,52,70+1,82+2,60,21,84+1,41,65,13,32,20,16,54,25,49,12,14,14,87+4,82+4,72+2,80+1,85,,,,,,,,,,,,,,,,,,,,,,,,,,
221639,https://sofifa.com/player/221639/mariano-diaz-mejia/17/158492,Mariano,Mariano Díaz Mejía,22,1993-08-01,179,74,Dominican Republic,Real Madrid,71,80,2600000,25000,ST,Right,1,3,3,Medium/Medium,Normal,No,,,SUB,18.0,,2016-07-01,2021.0,,,77.0,73.0,53.0,66.0,32.0,69.0,,,,,,,"Power Free-Kick, Beat Offside Trap, Chip Shot (CPU AI Only)",45+10,70+1,69-8,57+7,66+12,63+5,77+40,72+40,32,64+7,78+19,77-2,80+3,64+9,72+5,81+4,91,67,71+7,73+16,60,21,71+16,58,68,55,30,31,28,12,14,6,8,15,70+1,70+1,70+1,65+1,67+1,67+1,67+1,65+1,64+1,64+1,64+1,62+1,56+1,56+1,56+1,62+1,49+1,45+1,45+1,45+1,49+1,48+1,47+1,47+1,47+1,48+1
200145,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/17/158492,Casemiro,Carlos Henrique Venancio Casimiro,24,1992-02-23,184,80,Brazil,Real Madrid,82,87,23000000,80000,CDM,Right,2,3,2,Medium/Medium,Stocky,No,,,SUB,14.0,,2013-07-11,2021.0,RCM,5.0,61.0,68.0,71.0,71.0,80.0,84.0,,,,,,,"Power Free-Kick, Long Passer (CPU AI Only)",52,59,74,81+2,53,69,59,74,80,78+1,59-5,62-3,66,78+3,57,86,87,85+1,82+1,75,87,84+1,66,68,66,73,72+8,86+2,81+5,13,14,16,12,12,71+1,71+1,71+1,69+1,72+1,72+1,72+1,69+1,72+1,72+1,72+1,70+1,77+1,77+1,77+1,70+1,76+1,81+1,81+1,81+1,76+1,76+1,81+1,81+1,81+1,76+1
176676,https://sofifa.com/player/176676/marcelo-vieira-da-silva/17/158492,Marcelo,Marcelo Vieira da Silva Júnior,28,1988-05-12,174,75,Brazil,Real Madrid,86,86,30000000,160000,LB,Left,4,4,4,High/Medium,Normal,Yes,,#Crosser,LB,12.0,,2007-01-01,2020.0,SUB,16.0,79.0,69.0,80.0,84.0,82.0,80.0,,,,,,,Flair,87+2,67+1,70+1,81+2,54,83,80,67,76,87+1,77-1,80-3,77-2,85,82-2,83,77,82+1,77+2,66+1,84-2,83,69+2,75+5,59,76,80+1,84+1,87+1,12,5,5,5,9,76+3,76+3,76+3,80+3,78+3,78+3,78+3,80+3,79+3,79+3,79+3,81+3,80+3,80+3,80+3,81+3,84+3,83+3,83+3,83+3,84+3,83+3,82+3,82+3,82+3,83+3
173731,https://sofifa.com/player/173731/gareth-bale/17/158492,G. Bale,Gareth Frank Bale,26,1989-07-16,183,74,Wales,Real Madrid,90,90,72000000,210000,RW,Left,4,3,4,High/Medium,Lean,Yes,,"#Speedster, #Distance Shooter, #Crosser, #Clinical Finisher",RW,11.0,,2013-09-02,2019.0,RS,11.0,94.0,87.0,84.0,86.0,57.0,76.0,,,,,,,"Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",87+3,87+6,82+6,86+2,76,89+2,86-1,85,80,88+3,93,95,77+2,87+3,65,91+4,79+12,78-12,80+1,90+2,65-12,59,86+3,79+2,76,85,51-9,55-10,52-10,15,15,11,5,6,88+2,88+2,88+2,88+2,88+2,88+2,88+2,88+2,87+2,87+2,87+2,87+2,82+2,82+2,82+2,87+2,75+2,72+2,72+2,72+2,75+2,73+2,67+2,67+2,67+2,73+2
197781,https://sofifa.com/player/197781/francisco-roman-alarcon-suarez/17/158492,Isco,Francisco Román Alarcón Suárez,24,1992-04-21,176,74,Spain,Real Madrid,84,88,38000000,110000,"CAM, CM, RM",Right,3,3,4,High/Medium,Normal,Yes,,#Dribbler,SUB,22.0,,2013-07-03,2018.0,,,72.0,75.0,80.0,87.0,39.0,62.0,,,,,,,"Selfish, Finesse Shot, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",72,76,55-4,84-1,64,87,86,74,77-1,89,76-1,69-2,83-1,78-1,82-2,72,64,69-9,59,80-1,58,48,77,84,76,76,25,43,37,10,8,12,15,6,75+2,75+2,75+2,81+2,81+2,81+2,81+2,81+2,83+2,83+2,83+2,80+2,79+2,79+2,79+2,80+2,63+2,63+2,63+2,63+2,63+2,59+2,52+2,52+2,52+2,59+2
209749,https://sofifa.com/player/209749/lucas-silva-borges/17/158492,Lucas Silva,Lucas Silva Borges,23,1993-02-16,182,80,Brazil,Real Madrid,74,76,3500000,35000,"CDM, CM",Right,1,3,3,Medium/High,Normal,Yes,,,RES,24.0,,2015-01-26,2020.0,,,59.0,62.0,69.0,72.0,72.0,76.0,,,,,,,,61,52,61,75,50,73,56,51,72,75,56-5,62-3,65,72,61,77,72,77-2,78,73,72,71,65,70,64,72,72,75,72,11,7,10,14,7,67+1,67+1,67+1,68+1,69+1,69+1,69+1,68+1,70+1,70+1,70+1,69+1,73+1,73+1,73+1,69+1,71+1,74+1,74+1,74+1,71+1,71+1,72+1,72+1,72+1,71+1
120533,https://sofifa.com/player/120533/kepler-laveran-lima-ferreira/17/158492,Pepe,Képler Laveran Lima Ferreira,33,1983-02-26,188,81,Portugal,Real Madrid,88,88,23500000,100000,CB,Right,4,3,2,Medium/High,Lean,Yes,,"#Tackling , #Tactician ",RCB,3.0,,2007-07-01,2017.0,LCB,3.0,71.0,51.0,56.0,59.0,88.0,81.0,,,,,,,Dives Into Tackles (CPU AI Only),46,46,82+2,67,23,58,44,47,61+1,58+1,65-3,75-2,63+1,84+10,49-9,63,76,64-8,84+1,56,94,88+3,40,48-10,57,68,88+4,89+1,90,8,15,5,9,10,61+3,61+3,61+3,58+3,59+3,59+3,59+3,58+3,59+3,59+3,59+3,59+3,63+3,63+3,63+3,59+3,74+3,77+3,77+3,77+3,74+3,77+3,85+3,85+3,85+3,77+3
182521,https://sofifa.com/player/182521/toni-kroos/17/158492,T. Kroos,Toni Kroos,26,1990-01-04,182,78,Germany,Real Madrid,88,90,61000000,170000,"CM, CDM",Right,4,5,3,Medium/Medium,Normal,Yes,,"#Playmaker  , #Distance Shooter",LCM,8.0,,2014-07-17,2020.0,LDM,8.0,45.0,80.0,88.0,79.0,69.0,70.0,,,,,,,"Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",84-1,75-1,54,89,82,78-5,84,83,93+3,85-1,55-4,37-15,70-1,85,62,87,34-20,78+2,74+2,88-1,60+6,77+1,76,88,73,85,63+3,75+3,65+6,10,11,13,7,10,75+3,75+3,75+3,78+3,79+3,79+3,79+3,78+3,82+3,82+3,82+3,79+3,85+3,85+3,85+3,79+3,75+3,80+3,80+3,80+3,75+3,72+3,69+3,69+3,69+3,72+3
207410,https://sofifa.com/player/207410/mateo-kovacic/17/158492,M. Kovačić,Mateo Kovačić,22,1994-05-06,178,77,Croatia,Real Madrid,79,85,14000000,50000,CM,Right,1,4,4,Medium/Medium,Stocky,No,,#Playmaker  ,SUB,16.0,,2015-08-19,2021.0,,,80.0,67.0,82.0,85.0,49.0,64.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",75,58,42,87,76,88,78,68,76,87,84,76-2,77-2,68,70-1,79,59,71-1,59,74,71,48,67,88,59,70,41,59,55,9,5,6,7,7,70+1,70+1,70+1,79+1,78+1,78+1,78+1,79+1,81+1,81+1,81+1,80+1,78+1,78+1,78+1,80+1,69+1,68+1,68+1,68+1,69+1,65+1,58+1,58+1,58+1,65+1
171688,https://sofifa.com/player/171688/fabio-alexandre-silva-coentrao/17/158492,Fábio Coentrão,Fábio Alexandre da Silva Coentrão,28,1988-03-11,179,70,Portugal,Real Madrid,80,80,11000000,80000,"LB, LM",Left,3,2,3,Medium/Medium,Lean,Yes,,,SUB,15.0,,2011-07-05,2017.0,,,76.0,66.0,73.0,79.0,78.0,72.0,,,,,,,Avoids Using Weaker Foot,77-1,65,71,75,64,81,78,60,69,78-1,77-1,76-2,70-1,82-1,76-1,69,77,77-2,64-1,66,82,80,70,69,54,76,77,77,82-2,7,13,16,15,14,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,76+2,75+2,75+2,75+2,76+2,79+2,77+2,77+2,77+2,79+2,79+2,77+2,77+2,77+2,79+2
177644,https://sofifa.com/player/177644/francisco-casilla-cortes/17/158492,Kiko Casilla,Francisco Casilla Cortés,29,1986-10-02,191,84,Spain,Real Madrid,79,79,8500000,60000,GK,Right,2,2,1,Medium/Medium,Normal,No,,,SUB,13.0,,2015-07-19,2020.0,,,,,,,,,73.0,83.0,80.0,77.0,41.0,82.0,,24,14,13,30,23,12,25,25,24,20,32,49,43,74+2,58,24,69,43,79,13,45,20,12,52,23,51,12,15,11,73-9,83+2,80,82,77-4,,,,,,,,,,,,,,,,,,,,,,,,,,
198710,https://sofifa.com/player/198710/james-rodriguez/17/158492,J. Rodríguez,James David Rodríguez Rubio,24,1991-07-12,180,75,Colombia,Real Madrid,87,92,61000000,150000,"CAM, CM, RM",Left,4,3,4,Medium/Medium,Normal,Yes,,"#Distance Shooter, #Crosser, #FK Specialist",CAM,10.0,,2014-07-22,2020.0,LAM,10.0,76.0,85.0,85.0,85.0,40.0,68.0,,,,,,,"Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",88,82-3,62-6,84,91,87,87+5,86,80,85,77-1,75-3,82-1,84-1,73-1,86,54-1,68-5,70-1,91+4,65-9,55-3,83,88+1,81,81,25,42-5,30,15,15,15,5,14,81+3,81+3,81+3,85+3,84+3,84+3,84+3,85+3,85+3,85+3,85+3,84+3,81+3,81+3,81+3,84+3,66+3,65+3,65+3,65+3,66+3,61+3,54+3,54+3,54+3,61+3
200724,https://sofifa.com/player/200724/jose-ignacio-fernandez-iglesias/17/158492,Nacho Fernández,José Ignacio Fernández Iglesias,26,1990-01-18,179,75,Spain,Real Madrid,78,80,8500000,60000,"CB, RB, LB",Right,1,4,2,Medium/Medium,Normal,Yes,,,SUB,6.0,,2010-08-01,2021.0,,,73.0,32.0,63.0,60.0,78.0,75.0,,,,,,,Injury Free,70,22,75,70,28,55,55,37,61,68,74-2,72-3,56-1,72,67,54,81,73,77,28,72,79,37,53,45,65,76,80,81,12,7,10,15,7,54+1,54+1,54+1,57+1,55+1,55+1,55+1,57+1,57+1,57+1,57+1,62+1,62+1,62+1,62+1,62+1,74+1,73+1,73+1,73+1,74+1,75+1,77+1,77+1,77+1,75+1
